dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Cases change,Death Change,Measures
09/12/2020,9,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.04184418,0,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.04184418,0,0,0,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,2,0,Laos,LA,LAO,7169456,Asia,0.23711701,2.78961E-07,2,0,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,-2,0,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.20922089,0,0,0,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,1,0,Laos,LA,LAO,7169456,Asia,0.20922089,1.39481E-07,1,0,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.19527284,0,-1,0,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.19527284,0,0,0,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.19527284,0,0,0,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,14,0,Laos,LA,LAO,7169456,Asia,0.19527284,1.95273E-06,14,0,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,-14,0,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
12/11/2020,12,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
11/11/2020,11,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
10/11/2020,10,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
09/11/2020,9,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
08/11/2020,8,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
07/11/2020,7,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
06/11/2020,6,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
05/11/2020,5,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
04/11/2020,4,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
03/11/2020,3,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
02/11/2020,2,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
01/11/2020,1,11,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
31/10/2020,31,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
30/10/2020,30,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
29/10/2020,29,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
28/10/2020,28,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
27/10/2020,27,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
26/10/2020,26,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
25/10/2020,25,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
24/10/2020,24,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
23/10/2020,23,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
22/10/2020,22,10,2020,1,0,Laos,LA,LAO,7169456,Asia,0.01394806,1.39481E-07,1,0,Social Distancing and Wearing Masks Enforced
21/10/2020,21,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,-1,0,Social Distancing and Wearing Masks Enforced
20/10/2020,20,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
19/10/2020,19,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
18/10/2020,18,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
17/10/2020,17,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
16/10/2020,16,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
15/10/2020,15,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
14/10/2020,14,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
13/10/2020,13,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
12/10/2020,12,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
11/10/2020,11,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
10/10/2020,10,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
09/10/2020,9,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
08/10/2020,8,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
07/10/2020,7,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
06/10/2020,6,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
05/10/2020,5,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
04/10/2020,4,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
03/10/2020,3,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
02/10/2020,2,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
01/10/2020,1,10,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
30/09/2020,30,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
29/09/2020,29,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
28/09/2020,28,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
27/09/2020,27,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
26/09/2020,26,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
25/09/2020,25,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
24/09/2020,24,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
23/09/2020,23,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
22/09/2020,22,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
21/09/2020,21,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
20/09/2020,20,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
19/09/2020,19,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
18/09/2020,18,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
17/09/2020,17,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
16/09/2020,16,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
15/09/2020,15,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
14/09/2020,14,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
13/09/2020,13,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
12/09/2020,12,9,2020,1,0,Laos,LA,LAO,7169456,Asia,0.01394806,1.39481E-07,1,0,Social Distancing and Wearing Masks Enforced
11/09/2020,11,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,-1,0,Social Distancing and Wearing Masks Enforced
10/09/2020,10,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
09/09/2020,9,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
08/09/2020,8,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
07/09/2020,7,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
06/09/2020,6,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
05/09/2020,5,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
04/09/2020,4,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
03/09/2020,3,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
02/09/2020,2,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
01/09/2020,1,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
31/08/2020,31,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
30/08/2020,30,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
29/08/2020,29,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
28/08/2020,28,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
27/08/2020,27,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
26/08/2020,26,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
25/08/2020,25,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
24/08/2020,24,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
23/08/2020,23,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
22/08/2020,22,8,2020,2,0,Laos,LA,LAO,7169456,Asia,0.02789612,2.78961E-07,2,0,Social Distancing and Wearing Masks Enforced
21/08/2020,21,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,-2,0,Social Distancing and Wearing Masks Enforced
20/08/2020,20,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
19/08/2020,19,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
18/08/2020,18,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
17/08/2020,17,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
16/08/2020,16,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
15/08/2020,15,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
14/08/2020,14,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
13/08/2020,13,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
